_from,_to
weakness/UCA1.2,threat_scenario/TS1.1
weakness/UCA1.3,threat_scenario/TS1.2
weakness/UCA1.4,threat_scenario/TS1.3
weakness/UCA0.1,threat_scenario/TS2
weakness/UCA0.2,threat_scenario/TS2.1
weakness/UCA1.1,threat_scenario/TS2.1.1
weakness/UCA2.3,threat_scenario/TS2.1.1.1
weakness/UCA2.1,threat_scenario/TS3
weakness/UCA3.2,threat_scenario/TS3.1
weakness/UCA3.2,threat_scenario/TS3.1.1
weakness/UCA3.1,threat_scenario/TS4
weakness/UCA4.2,threat_scenario/TS4.1
weakness/UCA4.3,threat_scenario/TS4.1.1
weakness/UCA4.4,threat_scenario/TS4.1.2
