_key,hazard_case,security_threat,CIA_triple,description
UCA0.1,,Leakage,Confidentiality,"The ""TSR cancel"" is leaked to the adversary"
UCA0.2,Not providing the control action,Tamper,Integrity,"The adversary tampers with the ""TSR cancel"". Although it will not pass the validity verification, the verification result is also tampered into ""successful"" to deceive CTC"
UCA0.3,Providing the wrong control action,Counterfeit,Integrity,"The adversary counterfeits the ""TSR cancel"" by other command, leads to CTC providing wrong ""CA0"""
UCA1.1,,Leakage,Confidentiality,"The ""execution reminder"" is leaked to the adversary"
UCA1.2,Not providing the control action,Drop,Confidentiality,"The adversary drops the ""execution reminder"", leads to TSRS not providing ""CA1"""
UCA1.3,"Providing a potentially safe control action but too early, too late, or in the wrong order",Node Overload,Confidentiality,"TSRS is overloaded while sending ""execution reminder"", leads to TSRS providing ""CA1"" too late"
UCA1.4,"Providing a potentially safe control action but too early, too late, or in the wrong order",Communication Delay,Confidentiality,"Communication delay happens while TSRS sending ""execution reminder"", leads to TSRS providing ""CA1"" too late"
UCA2.1,,Leakage,Confidentiality,"The ""TSR execution"" is leaked to the adversary"
UCA2.2,Not providing the control action,Drop,Confidentiality,"The adversary drops the ""TSR execution"", leads to CTC not providing ""CA2"""
UCA2.3,Providing the wrong control action,Counterfeit,Confidentiality,"The adversary counterfeits the ""TSR execution"" by other command, leads to CTC providing wrong ""CA2"""
UCA2.4,"Providing a potentially safe control action but too early, too late, or in the wrong order",Node Overload,Confidentiality,"CTC is overloaded while sending ""TSR execution"", leads to CTC providing ""CA2"" too late"
UCA2.5,"Providing a potentially safe control action but too early, too late, or in the wrong order",Communication Delay,Confidentiality,"Communication delay happens while CTC sending ""TSR execution"", leads to CTC providing ""CA2"" too late"
UCA3.1,,Leakage,Confidentiality,"The ""TSR execution(RBC)"" is leaked to the adversary"
UCA3.2,Not providing the control action,Tamper,Integrity,"The adversary tampers with the ""TSR execution"" related contents. Although it will not pass the validity verification, the verification result is also tampered into ""successful"" to deceive TSRS"
UCA3.3,Providing the wrong control action,Counterfeit,Confidentiality,"The adversary counterfeits the ""TSR execution(RBC)"" by other command, leads to the TSRS providing wrong ""CA3"""
UCA4.1,,Leakage,Confidentiality,"The ""TSR command"" is leaked to the adversary"
UCA4.2,Not providing the control action,Drop,Confidentiality,"The adversary drops the ""TSR command"", leads to RBC not providing ""CA4"""
UCA4.3,Providing the wrong control action,Counterfeit,Confidentiality,"The adversary counterfeits the ""TSR command"" by other command, leads to RBC providing wrong ""CA4"""
UCA4.4,Providing the wrong control action,Tamper,Confidentiality,"The adversary tampers the ""TSR command"", leads to the CTC providing wrong ""CA4"""
