_from,_to
control_action/CA0,asset/5
control_action/CA0,asset/6
control_action/CA0,asset/7
control_action/CA0,asset/8
control_action/CA0,asset/9
control_action/CA0,asset/10
control_action/CA0,asset/12
control_action/CA0,asset/13
control_action/CA0,asset/15
control_action/CA1,asset/5
control_action/CA1,asset/6
control_action/CA1,asset/7
control_action/CA1,asset/8
control_action/CA1,asset/9
control_action/CA1,asset/10
control_action/CA1,asset/12
control_action/CA1,asset/13
control_action/CA1,asset/15
control_action/CA2,asset/5
control_action/CA2,asset/6
control_action/CA2,asset/7
control_action/CA2,asset/8
control_action/CA2,asset/9
control_action/CA2,asset/10
control_action/CA2,asset/12
control_action/CA2,asset/13
control_action/CA2,asset/15
control_action/CA3,asset/5
control_action/CA3,asset/6
control_action/CA3,asset/11
control_action/CA3,asset/13
control_action/CA3,asset/14
control_action/CA3,asset/15
control_action/CA3,asset/16
control_action/CA3,asset/1
control_action/CA3,asset/2
control_action/CA4,asset/1
control_action/CA4,asset/2
control_action/CA4,asset/14
control_action/CA4,asset/16
control_action/CA4,asset/3
control_action/CA4,asset/4
