_from,_to
safety_constraint/SC1,control_action/CA1
safety_constraint/SC1,control_action/CA2
safety_constraint/SC1,control_action/CA3
safety_constraint/SC3,control_action/CA0
safety_constraint/SC3,control_action/CA3
safety_constraint/SC3,control_action/CA6
safety_constraint/SC4,control_action/CA0
safety_constraint/SC4,control_action/CA1
safety_constraint/SC4,control_action/CA3
safety_constraint/SC4,control_action/CA4
safety_constraint/SC4,control_action/CA6
safety_constraint/SC5,control_action/CA0
safety_constraint/SC5,control_action/CA1
safety_constraint/SC5,control_action/CA2
safety_constraint/SC5,control_action/CA3
safety_constraint/SC5,control_action/CA6
safety_constraint/SC6,control_action/CA3
safety_constraint/SC6,control_action/CA4
safety_constraint/SC6,control_action/CA5
