_from,_to
weakness/UCA0.1,control_action/CA0
weakness/UCA0.2,control_action/CA0
weakness/UCA0.3,control_action/CA0
weakness/UCA0.4,control_action/CA0
weakness/UCA0.5,control_action/CA0
weakness/UCA1.1,control_action/CA1
weakness/UCA1.2,control_action/CA1
weakness/UCA1.3,control_action/CA1
weakness/UCA1.4,control_action/CA1
weakness/UCA1.5,control_action/CA1
weakness/UCA1.6,control_action/CA1
weakness/UCA1.7,control_action/CA1
weakness/UCA2.1,control_action/CA2
weakness/UCA2.2,control_action/CA2
weakness/UCA2.3,control_action/CA2
weakness/UCA2.4,control_action/CA2
weakness/UCA2.5,control_action/CA2
weakness/UCA2.6,control_action/CA2
weakness/UCA3.1,control_action/CA3
weakness/UCA3.2,control_action/CA3
weakness/UCA4.1,control_action/CA4
weakness/UCA4.2,control_action/CA4
weakness/UCA4.3,control_action/CA4
weakness/UCA4.4,control_action/CA4
