_from,_to
weakness/UCA1.3,threat_scenario/TS1.1
weakness/UCA1.4,threat_scenario/TS1.1
weakness/UCA1.5,threat_scenario/TS1.1
weakness/UCA1.6,threat_scenario/TS1.2
weakness/UCA1.7,threat_scenario/TS1.2
weakness/UCA0.5,threat_scenario/TS2
weakness/UCA1.1,threat_scenario/TS2.1
weakness/UCA2.5,threat_scenario/TS2.1.1
weakness/UCA2.1,threat_scenario/TS3
weakness/UCA3.2,threat_scenario/TS3.1
weakness/UCA3.1,threat_scenario/TS4
weakness/UCA4.2,threat_scenario/TS4.1
weakness/UCA4.3,threat_scenario/TS4.1.1
weakness/UCA4.4,threat_scenario/TS4.1.2
